model,test,n_scored,n_total,q_sem,q_strict,ci_lo,ci_hi,coverage,note
granite-code:8b-instruct,HOME-13,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-13,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-13,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-13,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-13,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-13,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-13,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-13,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
phi4-mini:latest,HOME-14,16,16,0.9705,0.8125,0.9349,1.0000,1.000,
gemma3:12b,HOME-14,8,16,0.9583,0.7500,0.9028,1.0000,0.500,
command-r7b:7b,HOME-14,8,16,0.9566,0.6250,0.9132,0.9861,0.500,
mistral-nemo:12b,HOME-14,8,16,0.8663,0.6250,0.7101,0.9722,0.500,
qwen2.5-coder:7b,HOME-14,16,16,0.8646,0.7500,0.7300,0.9722,1.000,
granite-code:8b-instruct,HOME-14,16,16,0.8056,0.0000,0.6571,0.9453,1.000,
llama3.1:8b,HOME-14,16,16,0.7691,0.4375,0.5677,0.9340,1.000,
qwen3:14b,HOME-14,8,16,0.7500,0.7500,0.3750,1.0000,0.500,
qwen3:8b,HOME-14,8,16,0.6250,0.6250,0.2500,0.8750,0.500,
qwen3:1.7b,HOME-14,16,16,0.6016,0.5000,0.3672,0.8281,1.000,
qwen3.5:4b,HOME-14,16,16,0.4453,0.4375,0.2500,0.6875,1.000,
deepseek-r1:8b,HOME-14,8,16,0.1250,0.0000,0.0000,0.3750,0.500,
aya-expanse:8b,HOME-14,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
bge-m3:latest,HOME-14,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-14,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-14,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-14,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
lfm2.5:8b,HOME-14,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-14,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-14,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-14,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-14,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-14,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-14,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-15,12,12,0.5000,0.0000,0.2500,0.7500,1.000,
aya-expanse:8b,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
bge-m3:latest,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
command-r7b:7b,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
deepseek-r1:8b,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
gemma3:12b,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
lfm2.5:8b,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama3.1:8b,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
mistral-nemo:12b,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
phi4-mini:latest,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5-coder:7b,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3.5:4b,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:1.7b,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:14b,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:8b,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-15,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
gemma3:12b,HOME-16,20,40,0.9500,0.0500,0.8500,1.0000,0.500,
mistral-nemo:12b,HOME-16,20,40,0.9500,0.9500,0.8500,1.0000,0.500,
qwen3:14b,HOME-16,20,40,0.9500,0.9500,0.8500,1.0000,0.500,
aya-expanse:8b,HOME-16,20,40,0.9000,0.0000,0.7500,1.0000,0.500,
qwen3.5:4b,HOME-16,40,40,0.8750,0.8750,0.7750,0.9750,1.000,
command-r7b:7b,HOME-16,20,40,0.8500,0.7500,0.7000,1.0000,0.500,
qwen3:8b,HOME-16,20,40,0.8500,0.8500,0.7000,1.0000,0.500,
lfm2.5:8b,HOME-16,40,40,0.8250,0.8250,0.7000,0.9250,1.000,
llama3.1:8b,HOME-16,40,40,0.8250,0.8250,0.7000,0.9250,1.000,
qwen3:1.7b,HOME-16,40,40,0.8000,0.8000,0.6750,0.9250,1.000,
deepseek-r1:8b,HOME-16,20,40,0.8000,0.5500,0.6000,0.9500,0.500,
phi4-mini:latest,HOME-16,40,40,0.6000,0.0000,0.4500,0.7500,1.000,
bge-m3:latest,HOME-16,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-16,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-16,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-16,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-16,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-16,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-16,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-16,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5-coder:7b,HOME-16,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-16,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-16,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-16,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:8b,HOME-17,4,6,0.7500,0.7500,0.2500,1.0000,0.667,
qwen3:14b,HOME-17,6,6,0.5000,0.5000,0.1667,0.8333,1.000,
lfm2.5:8b,HOME-17,6,6,0.3333,0.3333,0.0000,0.6667,1.000,
qwen3:1.7b,HOME-17,6,6,0.3333,0.3333,0.0000,0.6667,1.000,
deepseek-r1:8b,HOME-17,4,6,0.2500,0.2500,0.0000,0.7500,0.667,
phi4-mini:latest,HOME-17,6,6,0.1667,0.0000,0.0000,0.5000,1.000,
qwen2.5-coder:7b,HOME-17,6,6,0.0000,0.0000,0.0000,0.0000,1.000,
qwen3.5:4b,HOME-17,6,6,0.0000,0.0000,0.0000,0.0000,1.000,
gemma3:12b,HOME-17,4,6,0.0000,0.0000,0.0000,0.0000,0.667,
llama3.1:8b,HOME-17,4,6,0.0000,0.0000,0.0000,0.0000,0.667,
mistral-nemo:12b,HOME-17,4,6,0.0000,0.0000,0.0000,0.0000,0.667,
aya-expanse:8b,HOME-17,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
bge-m3:latest,HOME-17,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
command-r7b:7b,HOME-17,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-17,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-17,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-17,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-17,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-17,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-17,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-17,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-17,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-17,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-17,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
mistral-nemo:12b,HOME-18,6,10,1.0000,1.0000,1.0000,1.0000,0.600,
qwen3:14b,HOME-18,6,10,1.0000,1.0000,1.0000,1.0000,0.600,
llama3.1:8b,HOME-18,10,10,0.8500,0.8000,0.6000,1.0000,1.000,
qwen3:1.7b,HOME-18,10,10,0.8500,0.7000,0.7000,1.0000,1.000,
qwen3:8b,HOME-18,10,10,0.8500,0.8000,0.6000,1.0000,1.000,
lfm2.5:8b,HOME-18,10,10,0.5500,0.4000,0.3000,0.8000,1.000,
phi4-mini:latest,HOME-18,10,10,0.4500,0.1000,0.2500,0.6500,1.000,
qwen3.5:4b,HOME-18,10,10,0.4500,0.4000,0.1500,0.7500,1.000,
command-r7b:7b,HOME-18,6,10,0.3333,0.0000,0.1667,0.5000,0.600,
deepseek-r1:8b,HOME-18,6,10,0.3333,0.0000,0.1667,0.5000,0.600,
aya-expanse:8b,HOME-18,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
bge-m3:latest,HOME-18,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-18,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
gemma3:12b,HOME-18,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-18,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-18,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-18,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-18,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-18,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-18,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5-coder:7b,HOME-18,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-18,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-18,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-18,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:8b,HOME-19,4,8,0.9704,0.9704,0.9633,0.9776,0.500,
mistral-nemo:12b,HOME-19,4,8,0.9630,0.9630,0.9583,0.9678,0.500,
qwen3.5:4b,HOME-19,8,8,0.9588,0.9588,0.9453,0.9710,1.000,
qwen3:14b,HOME-19,4,8,0.9548,0.9548,0.9182,0.9805,0.500,
qwen2.5-coder:7b,HOME-19,8,8,0.9487,0.9487,0.9120,0.9714,1.000,
deepseek-r1:8b,HOME-19,4,8,0.9482,0.9482,0.9055,0.9792,0.500,
reader-lm:1.5b,HOME-19,8,8,0.9172,0.9172,0.9108,0.9232,1.000,
llama3.1:8b,HOME-19,8,8,0.8881,0.8881,0.8654,0.9136,1.000,
phi4-mini:latest,HOME-19,8,8,0.8741,0.8741,0.7884,0.9349,1.000,
gemma3:12b,HOME-19,4,8,0.8242,0.8242,0.8200,0.8283,0.500,
qwen3:1.7b,HOME-19,8,8,0.6828,0.6828,0.5562,0.8022,1.000,
lfm2.5:8b,HOME-19,8,8,0.5167,0.5167,0.3883,0.6351,1.000,
aya-expanse:8b,HOME-19,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
bge-m3:latest,HOME-19,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
command-r7b:7b,HOME-19,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-19,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-19,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-19,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-19,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-19,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-19,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-19,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-19,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-19,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:14b,HOME-20,12,20,0.9788,0.8333,0.9484,1.0000,0.600,
phi4-mini:latest,HOME-20,20,20,0.9373,0.8500,0.8357,1.0000,1.000,
qwen2.5-coder:7b,HOME-20,20,20,0.9373,0.8500,0.8302,1.0000,1.000,
qwen3:8b,HOME-20,12,20,0.8955,0.7500,0.7196,1.0000,0.600,
gemma3:12b,HOME-20,12,20,0.8816,0.6667,0.7037,0.9881,0.600,
mistral-nemo:12b,HOME-20,12,20,0.8552,0.7500,0.6667,0.9861,0.600,
granite-code:8b-instruct,HOME-20,12,20,0.7857,0.3333,0.5357,1.0000,0.600,
qwen3.5:4b,HOME-20,20,20,0.7694,0.7000,0.5889,0.9250,1.000,
lfm2.5:8b,HOME-20,20,20,0.7373,0.6500,0.5278,0.9000,1.000,
llama3.1:8b,HOME-20,20,20,0.7048,0.6500,0.5048,0.8714,1.000,
qwen3:1.7b,HOME-20,20,20,0.6538,0.5500,0.4500,0.8409,1.000,
command-r7b:7b,HOME-20,12,20,0.5833,0.5833,0.3333,0.8333,0.600,
sqlcoder:7b,HOME-20,20,20,0.5589,0.4500,0.3458,0.7631,1.000,
deepseek-r1:8b,HOME-20,12,20,0.3333,0.3333,0.0833,0.5833,0.600,
aya-expanse:8b,HOME-20,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
bge-m3:latest,HOME-20,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-20,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-20,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-20,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-20,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-20,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-20,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-20,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-20,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:14b,HOME-21,5,8,0.8000,0.8000,0.4000,1.0000,0.625,
qwen3.5:4b,HOME-21,8,8,0.6250,0.1250,0.3125,0.8750,1.000,
qwen3:1.7b,HOME-21,8,8,0.5625,0.3750,0.3125,0.8750,1.000,
qwen3:8b,HOME-21,5,8,0.5000,0.4000,0.1000,0.9000,0.625,
llama3.1:8b,HOME-21,5,8,0.4000,0.2000,0.1000,0.7000,0.625,
mistral-nemo:12b,HOME-21,5,8,0.4000,0.2000,0.1000,0.7000,0.625,
lfm2.5:8b,HOME-21,8,8,0.3750,0.2500,0.1250,0.6875,1.000,
command-r7b:7b,HOME-21,5,8,0.3000,0.0000,0.1000,0.5000,0.625,
deepseek-r1:8b,HOME-21,5,8,0.3000,0.0000,0.1000,0.5000,0.625,
phi4-mini:latest,HOME-21,8,8,0.2500,0.0000,0.0625,0.4375,1.000,
aya-expanse:8b,HOME-21,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
bge-m3:latest,HOME-21,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-21,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
gemma3:12b,HOME-21,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-21,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-21,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-21,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-21,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-21,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-21,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5-coder:7b,HOME-21,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-21,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-21,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-21,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3.5:4b,HOME-22,10,10,0.9000,0.9000,0.7000,1.0000,1.000,
aya-expanse:8b,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
bge-m3:latest,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
command-r7b:7b,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
deepseek-r1:8b,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
gemma3:12b,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
lfm2.5:8b,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama3.1:8b,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
mistral-nemo:12b,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
phi4-mini:latest,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5-coder:7b,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:1.7b,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:14b,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:8b,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-22,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-23,16,16,0.9874,0.9370,0.9631,1.0000,1.000,
qwen3.5:4b,HOME-23,16,16,0.9839,0.8745,0.9586,1.0000,1.000,
gemma3:12b,HOME-23,10,16,0.9795,0.8989,0.9406,1.0000,0.625,
glm-ocr:latest,HOME-23,16,16,0.9453,0.1875,0.8837,0.9878,1.000,
granite3.2-vision:2b,HOME-23,16,16,0.7182,0.4949,0.5300,0.8957,1.000,
aya-expanse:8b,HOME-23,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
bge-m3:latest,HOME-23,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
command-r7b:7b,HOME-23,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
deepseek-r1:8b,HOME-23,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-23,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-23,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
lfm2.5:8b,HOME-23,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-23,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama3.1:8b,HOME-23,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
mistral-nemo:12b,HOME-23,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-23,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-23,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
phi4-mini:latest,HOME-23,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5-coder:7b,HOME-23,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:1.7b,HOME-23,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:14b,HOME-23,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:8b,HOME-23,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-23,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-23,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
lfm2.5:8b,HOME-24,30,30,1.0000,1.0000,1.0000,1.0000,1.000,
qwen3:14b,HOME-24,15,30,1.0000,1.0000,1.0000,1.0000,0.500,
qwen3:8b,HOME-24,15,30,1.0000,1.0000,1.0000,1.0000,0.500,
qwen3.5:4b,HOME-24,30,30,0.9667,0.9333,0.9000,1.0000,1.000,
qwen3:1.7b,HOME-24,30,30,0.9667,0.9667,0.9000,1.0000,1.000,
mistral-nemo:12b,HOME-24,15,30,0.8667,0.8667,0.6667,1.0000,0.500,
llama3.1:8b,HOME-24,30,30,0.6000,0.6000,0.4333,0.7667,1.000,
functiongemma:270m,HOME-24,30,30,0.4333,0.3667,0.2667,0.6000,1.000,
phi4-mini:latest,HOME-24,30,30,0.3667,0.3333,0.2000,0.5333,1.000,
command-r7b:7b,HOME-24,15,30,0.3333,0.3333,0.1333,0.6000,0.500,
deepseek-r1:8b,HOME-24,15,30,0.3333,0.3333,0.1333,0.6000,0.500,
aya-expanse:8b,HOME-24,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
bge-m3:latest,HOME-24,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
gemma3:12b,HOME-24,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-24,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-24,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-24,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-24,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-24,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-24,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5-coder:7b,HOME-24,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-24,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-24,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-24,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
